n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
90000000,0.06411,-,-,0.46530,-,-
180000000,0.16480,-,-,0.91787,-,-
270000000,0.21527,-,-,1.51969,-,-
360000000,0.26510,-,-,1.56902,-,-
450000000,0.31486,-,-,1.86831,-,-
540000000,0.41524,-,-,2.92273,-,-
630000000,0.46532,-,-,2.47091,-,-
720000000,0.56561,-,-,2.82301,-,-
810000000,0.56541,-,-,4.67810,-,-
900000000,0.66636,-,-,4.57725,-,-
990000000,0.71650,-,-,4.83125,-,-
1080000000,0.76638,-,-,4.27461,-,-
1170000000,0.81680,-,-,5.23111,-,-
1260000000,0.91701,-,-,5.18238,-,-
1350000000,1.01802,-,-,5.63147,-,-
1440000000,1.01748,-,-,6.03429,-,-
1530000000,1.16807,-,-,6.43154,-,-
1620000000,1.21842,-,-,7.88978,-,-
1710000000,1.21798,-,-,7.28711,-,-
1800000000,1.36855,-,-,8.99026,-,-
1890000000,1.36883,-,-,7.78776,-,-
1980000000,1.46639,-,-,8.99020,-,-
2070000000,1.51927,-,-,9.39257,-,-
