n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
1000000,-,-,-,0.06432,-,0.06486
2000000,-,-,-,0.06433,-,0.06428
3000000,-,-,-,0.06407,-,0.11468
4000000,-,-,-,0.11563,-,0.11518
5000000,-,-,-,0.11430,-,0.11489
6000000,-,-,-,0.11444,-,0.16465
7000000,-,-,-,0.11479,-,0.16447
8000000,-,-,-,0.11517,-,0.16443
9000000,-,-,-,0.11428,-,0.21490
10000000,-,-,-,0.16572,-,0.21608
11000000,-,-,-,0.16516,-,0.21545
12000000,-,-,-,0.16470,-,0.26547
13000000,-,-,-,0.21585,-,0.26561
14000000,-,-,-,0.21484,-,0.26543
15000000,-,-,-,0.21518,-,0.26550
16000000,-,-,-,0.21476,-,0.31594
17000000,-,-,-,0.21558,-,0.31646
18000000,-,-,-,0.21502,-,0.36506
19000000,-,-,-,0.21502,-,0.36494
20000000,-,-,-,0.21439,-,0.36491
21000000,-,-,-,0.21472,-,0.36474
22000000,-,-,-,0.26475,-,0.41618
23000000,-,-,-,0.26531,-,0.41594
24000000,-,-,-,0.26574,-,0.46557
25000000,-,-,-,0.26499,-,0.46682
26000000,-,-,-,0.21489,-,0.51622
27000000,-,-,-,0.26512,-,0.46535
28000000,-,-,-,0.26455,-,0.51614
29000000,-,-,-,0.26468,-,0.46648
30000000,-,-,-,0.26529,-,0.56720
31000000,-,-,-,0.26514,-,0.51555
32000000,-,-,-,0.26433,-,0.51554
33000000,-,-,-,0.26525,-,0.66654
34000000,-,-,-,0.26487,-,0.56571
35000000,-,-,-,0.26514,-,0.66637
36000000,-,-,-,0.26538,-,0.66641
37000000,-,-,-,0.26591,-,0.61623
38000000,-,-,-,0.31546,-,0.61614
39000000,-,-,-,0.26494,-,0.66559
40000000,-,-,-,0.31537,-,0.71577
41000000,-,-,-,0.31563,-,0.71608
42000000,-,-,-,0.31540,-,0.71662
43000000,-,-,-,0.31487,-,0.81619
44000000,-,-,-,0.31491,-,0.71798
45000000,-,-,-,0.31495,-,0.76664
46000000,-,-,-,0.36492,-,0.76638
47000000,-,-,-,0.31438,-,0.81618
48000000,-,-,-,0.31531,-,0.76595
49000000,-,-,-,0.31555,-,0.96793
50000000,-,-,-,0.31526,-,0.81693
