n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
1000000,-,-,0.11392,-,-,0.06490
2000000,-,-,0.16449,-,-,0.06416
3000000,-,-,0.11414,-,-,0.11419
4000000,-,-,0.16439,-,-,0.11492
5000000,-,-,0.16459,-,-,0.11486
6000000,-,-,0.16432,-,-,0.16454
7000000,-,-,0.16493,-,-,0.16515
8000000,-,-,0.16426,-,-,0.21521
9000000,-,-,0.16509,-,-,0.21464
10000000,-,-,0.21486,-,-,0.21572
11000000,-,-,0.16434,-,-,0.21430
12000000,-,-,0.16446,-,-,0.26482
13000000,-,-,0.16477,-,-,0.26532
14000000,-,-,0.21533,-,-,0.26570
15000000,-,-,0.21508,-,-,0.31566
16000000,-,-,0.21541,-,-,0.31566
17000000,-,-,0.21478,-,-,0.26494
18000000,-,-,0.21433,-,-,0.31537
19000000,-,-,0.21415,-,-,0.36499
20000000,-,-,0.21432,-,-,0.36467
21000000,-,-,0.21450,-,-,0.41519
22000000,-,-,0.26535,-,-,0.41599
23000000,-,-,0.26533,-,-,0.41599
24000000,-,-,0.26474,-,-,0.46577
25000000,-,-,0.26520,-,-,0.46623
26000000,-,-,0.26546,-,-,0.51627
27000000,-,-,0.26513,-,-,0.51600
28000000,-,-,0.26441,-,-,0.51593
29000000,-,-,0.26511,-,-,0.51548
30000000,-,-,0.26469,-,-,0.51528
