n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
20000000,0.03206,-,-,-,-,-
40000000,0.06411,-,-,-,-,-
60000000,0.06464,-,-,-,-,-
80000000,0.11439,-,-,-,-,-
100000000,0.11537,-,-,-,-,-
120000000,0.11449,-,-,-,-,-
140000000,0.11443,-,-,-,-,-
160000000,0.16473,-,-,-,-,-
180000000,0.16492,-,-,-,-,-
200000000,0.16482,-,-,-,-,-
220000000,0.21463,-,-,-,-,-
240000000,0.21511,-,-,-,-,-
260000000,0.21468,-,-,-,-,-
280000000,0.26505,-,-,-,-,-
300000000,0.26500,-,-,-,-,-
320000000,0.31540,-,-,-,-,-
340000000,0.31603,-,-,-,-,-
360000000,0.31543,-,-,-,-,-
380000000,0.31498,-,-,-,-,-
400000000,0.36543,-,-,-,-,-
420000000,0.36611,-,-,-,-,-
440000000,0.36568,-,-,-,-,-
460000000,0.41570,-,-,-,-,-
480000000,0.41609,-,-,-,-,-
500000000,0.41573,-,-,-,-,-
520000000,0.46588,-,-,-,-,-
540000000,0.46689,-,-,-,-,-
560000000,0.46567,-,-,-,-,-
580000000,0.51633,-,-,-,-,-
600000000,0.51684,-,-,-,-,-
