n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
100000000,-,-,-,0.58150,-,2.16920
200000000,-,-,-,1.16698,-,3.52278
300000000,-,-,-,1.86901,-,16.25084
400000000,-,-,-,2.21915,-,-
500000000,-,-,-,3.52366,-,-
600000000,-,-,-,2.72300,-,-
700000000,-,-,-,3.32461,-,-
800000000,-,-,-,3.57627,-,-
900000000,-,-,-,4.52971,-,-
1000000000,-,-,-,4.92663,-,-
1100000000,-,-,-,5.37809,-,-
1200000000,-,-,-,5.02894,-,-
1300000000,-,-,-,5.67921,-,-
1400000000,-,-,-,6.07949,-,-
1500000000,-,-,-,6.48124,-,-
1600000000,-,-,-,6.98344,-,-
1700000000,-,-,-,6.73249,-,-
1800000000,-,-,-,6.93519,-,-
1900000000,-,-,-,8.94020,-,-
2000000000,-,-,-,7.94109,-,-
2100000000,-,-,-,8.14243,-,-
2200000000,-,-,-,-,-,-
2300000000,-,-,-,-,-,-
2400000000,-,-,-,-,-,-
2500000000,-,-,-,-,-,-
2600000000,-,-,-,-,-,-
2700000000,-,-,-,-,-,-
2800000000,-,-,-,-,-,-
2900000000,-,-,-,-,-,-
3000000000,-,-,-,-,-,-
