n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
20000000,-,-,-,0.21470,-,0.36538
40000000,-,-,-,0.26523,-,0.71650
60000000,-,-,-,0.36655,-,1.56840
80000000,-,-,-,0.51649,-,1.86884
100000000,-,-,-,0.51494,-,2.06883
120000000,-,-,-,0.61568,-,2.37144
140000000,-,-,-,0.76582,-,2.72181
160000000,-,-,-,0.91827,-,2.72418
180000000,-,-,-,0.81696,-,3.47278
200000000,-,-,-,0.91640,-,3.92505
220000000,-,-,-,1.01816,-,4.53227
240000000,-,-,-,1.07211,-,5.18001
260000000,-,-,-,1.56985,-,4.32763
280000000,-,-,-,1.21650,-,5.52950
300000000,-,-,-,1.21790,-,27.26516
320000000,-,-,-,2.47118,-,29.95985
340000000,-,-,-,1.51890,-,-
360000000,-,-,-,1.66890,-,-
380000000,-,-,-,1.76998,-,-
400000000,-,-,-,1.66898,-,-
