n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
100000000,-,-,0.66617,-,-,-
200000000,-,-,1.21829,-,-,-
300000000,-,-,1.72113,-,-,-
400000000,-,-,2.27206,-,-,-
500000000,-,-,2.97264,-,-,-
600000000,-,-,3.57427,-,-,-
700000000,-,-,4.82802,-,-,-
800000000,-,-,4.63159,-,-,-
900000000,-,-,5.18009,-,-,-
1000000000,-,-,7.43656,-,-,-
1100000000,-,-,8.39144,-,-,-
1200000000,-,-,8.48892,-,-,-
1300000000,-,-,7.63978,-,-,-
1400000000,-,-,10.03958,-,-,-
1500000000,-,-,10.99734,-,-,-
1600000000,-,-,9.79045,-,-,-
1700000000,-,-,10.09227,-,-,-
1800000000,-,-,10.69281,-,-,-
1900000000,-,-,11.49846,-,-,-
2000000000,-,-,14.60464,-,-,-
